Country,Crop,Management,aN,dN,aP,dP,aK,dK,rN,rP,rK,CN,CP,CK,sN,sP,sK
Kenya,Maize,High,34,77,190,613,38,175,5,0.4,2,111,803,213,1,1,1
Kenya,Maize,Low,26,66,136.5,425.5,27,126,5,0.4,2,92,562,153,1,1,1
Kenya,Maize,Medium,30,71.5,163.25,519.25,32.5,150.5,5,0.4,2,101.5,682.5,183,1,1,1
Kenya,Potato,High,39,97,154,1025,29,98,5,0.4,2,136,1179,127,1,1,1
Kenya,Potato,Low,30.5,81,121,722.5,22,73,5,0.4,2,111.5,843.5,95,1,1,1
Kenya,Potato,Medium,34.75,89,137.5,873.75,25.5,85.5,5,0.4,2,123.75,1011.25,111,1,1,1
Madagascar,Maize,High,34,77,190,613,38,175,5,0.4,2,111,803,213,1,1,1
Madagascar,Maize,Low,26,66,136.5,425.5,27,126,5,0.4,2,92,562,153,1,1,1
Madagascar,Maize,Medium,30,71.5,163.25,519.25,32.5,150.5,5,0.4,2,101.5,682.5,183,1,1,1
Madagascar,Potato,High,39,97,154,1025,29,98,5,0.4,2,136,1179,127,1,1,1
Madagascar,Potato,Low,30.5,81,121,722.5,22,73,5,0.4,2,111.5,843.5,95,1,1,1
Madagascar,Potato,Medium,34.75,89,137.5,873.75,25.5,85.5,5,0.4,2,123.75,1011.25,111,1,1,1
Malawi,Maize,High,34,77,190,613,38,175,5,0.4,2,111,803,213,1,1,1
Malawi,Maize,Low,26,66,136.5,425.5,27,126,5,0.4,2,92,562,153,1,1,1
Malawi,Maize,Medium,30,71.5,163.25,519.25,32.5,150.5,5,0.4,2,101.5,682.5,183,1,1,1
Malawi,Potato,High,39,97,154,1025,29,98,5,0.4,2,136,1179,127,1,1,1
Malawi,Potato,Low,30.5,81,121,722.5,22,73,5,0.4,2,111.5,843.5,95,1,1,1
Malawi,Potato,Medium,34.75,89,137.5,873.75,25.5,85.5,5,0.4,2,123.75,1011.25,111,1,1,1
Mozambique,Maize,High,34,77,190,613,38,175,5,0.4,2,111,803,213,1,1,1
Mozambique,Maize,Low,26,66,136.5,425.5,27,126,5,0.4,2,92,562,153,1,1,1
Mozambique,Maize,Medium,30,71.5,163.25,519.25,32.5,150.5,5,0.4,2,101.5,682.5,183,1,1,1
Mozambique,Potato,High,39,97,154,1025,29,98,5,0.4,2,136,1179,127,1,1,1
Mozambique,Potato,Low,30.5,81,121,722.5,22,73,5,0.4,2,111.5,843.5,95,1,1,1
Mozambique,Potato,Medium,34.75,89,137.5,873.75,25.5,85.5,5,0.4,2,123.75,1011.25,111,1,1,1
Tanzania,Maize,High,34,77,190,613,38,175,5,0.4,2,111,803,213,1,1,1
Tanzania,Maize,Low,26,66,136.5,425.5,27,126,5,0.4,2,92,562,153,1,1,1
Tanzania,Maize,Medium,30,71.5,163.25,519.25,32.5,150.5,5,0.4,2,101.5,682.5,183,1,1,1
Tanzania,Potato,High,39,97,154,1025,29,98,5,0.4,2,136,1179,127,1,1,1
Tanzania,Potato,Low,30.5,81,121,722.5,22,73,5,0.4,2,111.5,843.5,95,1,1,1
Tanzania,Potato,Medium,34.75,89,137.5,873.75,25.5,85.5,5,0.4,2,123.75,1011.25,111,1,1,1
Uganda,Maize,High,34,77,190,613,38,175,5,0.4,2,111,803,213,1,1,1
Uganda,Maize,Low,26,66,136.5,425.5,27,126,5,0.4,2,92,562,153,1,1,1
Uganda,Maize,Medium,30,71.5,163.25,519.25,32.5,150.5,5,0.4,2,101.5,682.5,183,1,1,1
Uganda,Potato,High,39,97,154,1025,29,98,5,0.4,2,136,1179,127,1,1,1
Uganda,Potato,Low,30.5,81,121,722.5,22,73,5,0.4,2,111.5,843.5,95,1,1,1
Uganda,Potato,Medium,34.75,89,137.5,873.75,25.5,85.5,5,0.4,2,123.75,1011.25,111,1,1,1
Zambia,Maize,High,34,77,190,613,38,175,5,0.4,2,111,803,213,1,1,1
Zambia,Maize,Low,26,66,136.5,425.5,27,126,5,0.4,2,92,562,153,1,1,1
Zambia,Maize,Medium,30,71.5,163.25,519.25,32.5,150.5,5,0.4,2,101.5,682.5,183,1,1,1
Zambia,Potato,High,39,97,154,1025,29,98,5,0.4,2,136,1179,127,1,1,1
Zambia,Potato,Low,30.5,81,121,722.5,22,73,5,0.4,2,111.5,843.5,95,1,1,1
Zambia,Potato,Medium,34.75,89,137.5,873.75,25.5,85.5,5,0.4,2,123.75,1011.25,111,1,1,1
